Station_number,Observation_time,Showalter_index,Lifted_index,SWEAT_index,Precipitable_water_mm_for_entire_sounding
42647,910930/0000,3.55,-1.46,137.07,31.37
42647,910930/1200,0.66,-2.18,205.41,34.54
42647,910801/0000,-1.73,-2.88,260.61,66.21
42647,910802/0000,3.66,1.27,212,50.62
42647,910802/1200,4.3,-0.53,220.39,62.93
42647,910803/0000,3.15,-0.12,244.99,67.95
42647,910803/1200,2.89,-0.26,,55.47
42647,910805/0000,-3.65,-3.02,251.61,61.86
42647,910805/1200,-1.06,-2.38,263.79,54.63
42647,910806/0000,1.39,-3.22,214.19,43.72
42647,910807/0000,-5.9,-5.07,327.22,59.42
42647,910807/1200,1.4,-1.41,271.57,53.38
42647,910808/0000,5.26,2.37,220.81,41.26
42647,910808/1200,2.25,-1.13,,51.05
42647,910809/0000,0.29,4.93,239.41,65.19
42647,910809/1200,3.11,2.36,250.98,68.48
42647,910810/0000,1.45,0.42,255.22,63.63
42647,910810/1200,10.36,5.71,,50.87
42647,910811/0000,-1.7,-1.99,241.99,60.99
42647,910811/1200,0.73,-2.83,,51.77
42647,910812/1200,2.5,-0.55,249.01,51.87
42647,910812/1800,,0.71,,50
42647,910813/0000,4.5,0.52,208.81,53.45
42647,910813/1200,2.04,0.47,251.59,57.61
42647,910814/0000,2.75,-0.64,,54.92
42647,910814/1200,2.82,-0.82,213.61,58.43
42647,910815/0000,0.42,-0.46,246.58,62.13
42647,910815/1200,3.63,-0.64,,52.71
42647,910816/0000,9.2,-1.32,128.4,42.54
42647,910816/1200,5.24,-0.47,224.58,60.02
42647,910817/0000,3.5,1.56,235.4,67.58
42647,910817/1200,-1.18,-3.84,263.59,63.26
42647,910818/0000,0,0.34,245,60.9
42647,910818/1200,-1.06,-2.2,546.2,59.45
42647,910819/0000,-0.52,-3.13,219.4,53.07
42647,910819/1200,-8.03,-5.25,407.59,72.02
42647,910820/0000,3.2,2.29,248.61,60.93
42647,910820/1200,,-2.08,,57.96
42647,910821/0000,5.68,2.54,,69.06
42647,910821/1200,-2.88,-9.73,216.98,49.85
42647,910823/0000,2.78,-1.71,197.19,58.3
42647,910823/1200,,,,0
42647,910824/0000,5.06,-0.04,220.82,59.86
42647,910824/1200,-0.25,-3.68,270,70.97
42647,910825/0000,1.3,0.84,232.13,61.85
42647,910825/1200,-2.98,-5.04,257.3,64.47
42647,910826/0000,9.22,52.87,127.95,26.18
42647,910826/1200,57.22,-2.31,26.93,48.55
42647,910827/0000,,,,0
42647,910827/1200,6.29,43.97,189.62,20.55
42647,910828/0000,5.09,-0.49,199.2,43.29
42647,910828/1200,-1.22,-3.32,252.99,50.1
42647,910829/0000,1.66,-2.39,197.79,55.87
42647,910829/1200,4.61,1.22,182.6,51.5
42647,910830/0000,5.13,3.85,160.39,47.48
42647,910830/1200,0.89,-0.98,217,56.04
42647,910831/0000,1.16,1.98,245.8,66.93
42647,910831/1200,3.58,-0.51,213.78,64.03
42647,910701/0000,-0.59,-4.17,214.41,62.12
42647,910701/1200,-2.62,-8.57,228.58,65.16
42647,910702/0000,-1.44,,268.39,76.49
42647,910702/1200,0.46,-1.94,232.79,62.22
42647,910703/0000,-3.32,-3.42,287.41,66.95
42647,910704/1200,3.35,0.14,242.59,53.98
42647,910705/1200,2.88,0.41,229.81,50.87
42647,910706/0000,-2.1,21.12,234.8,32.35
42647,910706/1200,0.04,-3.16,203.4,47.11
42647,910707/0000,-0.05,-6.26,229.01,47
42647,910708/0000,3.53,0.62,177.59,37.73
42647,910708/1200,1.73,-3.57,,34.97
42647,910709/0000,-2.58,-4.27,,55.64
42647,910709/1200,0.53,-5.24,196.39,55.03
42647,910710/0000,,-3.08,,48.95
42647,910710/1200,-5.15,-4.61,310.42,76.89
42647,910711/0000,-2.07,-2.14,216.79,55.66
42647,910711/1200,-0.56,-3.42,218.41,58.82
42647,910712/0000,0.28,-2.41,,60.56
42647,910712/1200,-1.03,-3.78,,67.25
42647,910713/0000,-2.54,-4.38,236.61,81.85
42647,910713/1200,-0.02,-4.74,217,51.03
42647,910714/0000,2.47,-0.67,215,70.2
42647,910714/1200,1.9,0.7,238.39,67.42
42647,910715/0000,-14.35,-5.39,,74.51
42647,910715/1200,-2.07,-3.27,270.2,73.47
42647,910716/0000,0.43,-2.49,,57.68
42647,910717/1200,-7.13,-4.59,349.8,75.17
42647,910718/1200,-0.78,-3.24,255.41,72.13
42647,910719/0000,19.35,-4.58,21,52.5
42647,910719/1200,-3.98,-6.53,264.2,69.05
42647,910720/0000,-0.88,18.63,256.18,70.76
42647,910720/1200,1.94,-1.3,246.18,70.93
42647,910721/0000,5.9,5.44,169.6,39.37
42647,910721/1200,,17.2,,42.55
42647,910722/0000,3.35,-20.05,,270.38
42647,910722/1200,1.94,-4.02,265.41,49.8
42647,910723/0000,,0.08,,57.6
42647,910723/1200,-0.29,-1.76,259.78,76.26
42647,910724/0000,3,-0.49,243.6,68.43
42647,910725/0000,4.13,3.93,,66.79
42647,910725/1200,4.15,-1.48,229.73,61.11
42647,910726/0000,-75.37,-67.71,,46.77
42647,910726/1200,3.31,0.21,247.39,72.76
42647,910727/0000,0.07,-0.17,271.59,70.18
42647,910727/1200,1.79,-1.09,254.41,68.61
42647,910728/0000,0.3,-0.76,254.6,62.9
42647,910728/1200,-1.39,-2.44,258.6,65.53
42647,910729/0000,3.22,-0.67,236.81,63.43
42647,910730/1200,24.44,6.88,,61.5
42647,910731/0000,-0.36,9.54,,63.04
42647,910731/1200,2.6,2.53,266.4,72.36
42647,910601/0000,-1.47,10.1,186.19,27.68
42647,910601/1200,-1.56,-0.28,216.61,32.5
42647,910602/0000,-3.55,3.7,283.21,39.62
42647,910602/1200,-4.1,-8.35,314.86,36.91
42647,910603/0000,-4.18,3.14,344.19,43.17
42647,910603/1200,-6.39,-10.98,423.41,38.74
42647,910604/0000,-10.53,-22.56,,38.07
42647,910604/1200,-1.93,-2.1,229,34.94
42647,910605/0000,-5.82,-8.91,380.02,47.07
42647,910605/1200,-4.73,-7.48,333.61,52.26
42647,910606/0000,-6.39,12.89,404.38,49.77
42647,910607/0000,-6.33,-3.82,,56.63
42647,910607/1200,18.81,-1.69,254.18,58.53
42647,910608/0000,-5.66,-5.97,,63.08
42647,910609/0000,-5.65,-7,330,53.8
42647,910609/1200,-4.83,-8.26,339.39,51.62
42647,910610/0000,-5.72,-2.48,,73.31
42647,910610/0600,-5.07,-6.25,,45.11
42647,910610/1200,-7.9,-8.43,402.59,68.81
42647,910611/0000,,-5.72,,43.24
42647,910611/1200,-5.61,-9.07,360.78,59.62
42647,910612/1200,-9.55,-10.99,504.59,53.07
42647,910613/0000,-11.13,-9.87,553.79,56.89
42647,910613/1200,-8.59,-11.27,478.4,47.39
42647,910614/0000,-2.27,15.47,232.61,24.68
42647,910614/1200,-5.77,-11.11,343.19,43.03
42647,910615/0000,-5.3,-8.88,331.99,35.54
42647,910615/1200,0.88,-1.75,276.73,47.05
42647,910616/0000,3.1,-5.48,154.61,32.35
42647,910616/1200,-2.72,-5.77,252.82,44.72
42647,910617/0000,-6.4,-11.46,396.18,33.69
42647,910617/1200,-3.86,-3.66,,65.13
42647,910618/0000,-17.24,-11.34,,72.92
42647,910618/1200,4.39,2.17,242.77,38.78
42647,910619/0000,1.07,-1.98,288.81,43.32
42647,910619/1200,-5.85,-8.72,,45.61
42647,910620/0000,-4.97,-5.43,,47.73
42647,910620/1200,-5.69,-8.13,323.8,60.15
42647,910621/0000,-1.85,-5.79,222.81,50.99
42647,910621/1200,59.36,-1.08,28.98,40.62
42647,910622/0000,-5.4,-5.73,314.41,45.25
42647,910622/1200,3.12,-2.56,129.19,30.88
42647,910623/1200,-3.69,-4.7,273.21,56.43
42647,910624/0000,-1.38,-0.89,268.4,40.54
42647,910626/0000,0.44,-1.89,265.01,43.59
42647,910626/1200,0.16,-0.92,,44.17
42647,910627/0000,,,,0
42647,910627/1200,15.71,-3.28,29,25.37
42647,910628/0000,,-12.8,,22.96
42647,910628/1200,-1.22,-5.98,213.8,61
42647,910629/0000,-2.25,-3.72,225.61,62.67
42647,910629/1200,-2.34,-7.12,282.78,58.65
42647,910630/0000,-1.97,-6.1,,65.66
42647,910630/1200,-3.96,-3.61,284.59,62.45
42647,910501/1200,2.47,7.22,263.6,37.34
42647,910502/1200,-0.65,-4.91,188.61,32
42647,910503/0000,0.26,-0.28,218.4,36.48
42647,910503/1200,-1.44,-6.76,200.8,30.5
42647,910504/0000,-1.48,-4.55,202.02,40.98
42647,910504/1200,-6.25,-5.44,451.55,42.18
42647,910505/0000,-6.52,-9.75,398.41,32.86
42647,910505/1200,-4.17,-3.78,304.61,38.9
42647,910506/0000,-2.48,-5.17,237.22,35.2
42647,910506/1200,-4.84,-6.47,331.22,37.9
42647,910507/0000,-3.21,-4.34,268.21,40.39
42647,910507/1200,-3.45,-2.44,276.78,47.98
42647,910508/0000,5.97,1.69,106.4,17.77
42647,910508/1200,-6.64,-7.73,435.1,42.51
42647,910509/0000,2.21,-6.83,118.61,33.87
42647,910510/0000,0.05,-6.89,184.39,31.32
42647,910510/1200,-1.22,-0.01,242.21,29.67
42647,910511/0000,-5.68,-8.17,376.19,41.21
42647,910511/1200,,-0.35,,2.43
42647,910512/0000,-3.39,-6.87,,37.18
42647,910512/1200,4.05,3.23,67.2,17.35
42647,910513/0000,0.73,-3.1,,22.47
42647,910513/1200,0.04,0.97,114.81,22.31
42647,910514/0000,-2,-4.58,205.19,36.17
42647,910514/1200,-0.72,-0.92,172.39,34.49
42647,910516/0000,-2.62,-6.49,233,37.76
42647,910516/1200,1.62,-1.62,122.81,30.93
42647,910517/0000,-11.53,-13.96,598.59,39.48
42647,910517/1200,-2.25,-18.49,246.21,61.48
42647,910518/0000,-1.8,-7.86,227.8,34.02
42647,910518/1200,-5,-1,398.59,39.91
42647,910518/1800,-5,-1,,30.36
42647,910519/0000,,4.97,,6.68
42647,910519/1200,-3.95,-0.06,336.8,42.53
42647,910520/0000,-6.48,-3.38,421.79,45.01
42647,910521/0000,-1.65,-4.76,211.39,45.88
42647,910521/1200,-8.2,-13.72,442.41,50.98
42647,910522/1200,,1.81,,2.66
42647,910523/1200,-5.79,-3.58,377.39,53.59
42647,910524/1200,-7.95,-8.4,468.19,34.92
42647,910525/0000,-5.57,-9.13,,51.79
42647,910525/1200,0.94,-7.32,167.61,20.6
42647,910526/0000,,,,
42647,910526/1200,-4.36,-7.66,329.39,39.4
42647,910527/0000,3.25,-7.04,80.18,33.72
42647,910527/1200,-5.9,-7.41,358.2,50.17
42647,910528/0000,-7.07,12.52,391.59,25.06
42647,910528/1200,0.91,-6.42,117.21,22.72
42647,910529/0000,-7.31,-12.05,416.39,34.1
42647,910529/1200,-3.6,14.14,289.59,42.68
42647,910530/0000,-0.42,-5.24,152.58,32.08
42647,910530/1200,0.93,-3.01,189.2,39.39
42647,910531/0000,-0.24,-6.69,191.81,48.06
42647,910531/1200,-4.32,7.86,319.99,36.87
42647,910401/0000,-4.28,-7.93,316.8,55.44
42647,910402/0000,-4.87,-9.44,,51.15
42647,910402/1200,-1.36,-3.35,222.62,37.93
42647,910404/0000,2.83,0.27,84.8,27.26
42647,910404/1200,-0.46,-5.8,151.44,38.63
42647,910405/0000,-0.16,-4.2,145.18,35.86
42647,910406/0000,1.54,-3.61,81.6,25.08
42647,910406/1200,0.3,-0.93,150.8,25.65
42647,910407/0000,-1.93,-9.8,205.41,31.35
42647,910407/1200,1.2,22.13,145.59,29.67
42647,910408/0000,-13.95,-5,682.8,27.44
42647,910408/1200,-5.16,-6.87,473.14,38.3
42647,910409/0000,-7.44,-2.09,473.19,32.3
42647,910409/1200,0.39,0.21,222.4,31.82
42647,910410/0000,-14.41,1.53,651.79,32.1
42647,910410/1200,3.8,1.66,109.41,28.67
42647,910411/0000,4.6,-3,36.99,24.62
42647,910411/1200,1.04,-1.26,150.61,32.38
42647,910412/0000,-2.95,-14.15,245.18,66.94
42647,910412/1200,1.83,-3.82,161.63,29.53
42647,910413/0000,0.58,-2.24,209.2,25.26
42647,910413/1200,-1.08,-3.4,222.6,40.26
42647,910414/0000,6.37,3.55,147,32.98
42647,910414/1200,2.24,-5.69,209.05,38.1
42647,910415/0000,4.48,1.53,121.2,19.15
42647,910416/0000,2.48,3.08,132.31,23.79
42647,910416/1200,,0.87,,0.09
42647,910417/0000,9.46,10.35,219.02,16.24
42647,910417/1200,7.47,4.02,63.79,20.43
42647,910418/0000,49.42,11.24,44,13.7
42647,910418/1200,6.05,2.47,69.64,14.44
42647,910419/0000,,6.71,,2.02
42647,910420/0000,8.96,9.25,34.01,13.27
42647,910420/1200,,,,0
42647,910421/0000,3.52,2.61,55.19,19.16
42647,910421/1200,6.18,3.22,81.39,20.95
42647,910422/0000,4.51,10.41,124.02,17.94
42647,910422/1200,-1.4,-1.73,229.82,33.41
42647,910423/0000,-9.18,-5.06,438.01,49.34
42647,910424/0000,0.75,-2.62,124.58,29.93
42647,910424/1200,-0.83,-1.5,169.4,35.92
42647,910425/0000,,3.6,,3.84
42647,910425/1200,,-1.31,,9.05
42647,910426/0000,12.89,11.31,86.19,33.09
42647,910426/1200,-1.37,-5.19,166.39,28.78
42647,910427/1200,-2.77,-2.66,234.82,26.11
42647,910428/0000,-3.23,-8.16,285.62,41.26
42647,910428/1200,-7.95,-7.79,456.98,38.76
42647,910429/0000,1.8,0.58,198.81,56.63
42647,910429/1200,-11.59,-18.97,578.79,68.67
42647,910430/0000,-3.74,-6.48,302.61,36.16
42647,910430/1200,-1.89,-1.8,233.98,31.45
42647,910301/0000,5.17,6.42,64.99,22.85
42647,910301/1200,2.44,-2.55,128.58,29.21
42647,910302/0000,0.2,0.48,138.61,25.76
42647,910302/1200,-6.78,-12.37,400.39,31.34
42647,910303/0000,-2.55,-2.57,234.61,24.61
42647,910303/1200,-1.79,-8.43,207.41,26.08
42647,910304/0000,-5.38,-3.75,383.99,29.25
42647,910304/1200,0.64,-1.41,165.61,28.43
42647,910305/0000,6,2.64,83.79,21.94
42647,910305/1200,6.53,2.95,,15.37
42647,910306/0000,13.6,13.35,39.01,9.38
42647,910306/1200,12.15,7.5,35.99,21.81
42647,910307/0000,10.36,8.76,50,23.29
42647,910307/1200,7.79,3.36,266.2,23.64
42647,910308/0000,25.68,13.89,33,24.2
42647,910308/1200,0.79,-4.03,75.81,19.66
42647,910309/0000,-0.3,1.51,170.6,21.49
42647,910309/1200,-19.76,-22.2,986.44,37.36
42647,910310/0000,-6.89,-2.26,431.8,20.26
42647,910310/1200,0.15,-2.67,142.78,15.27
42647,910311/1200,-1.44,-2.96,214.4,13.52
42647,910312/0000,9.98,14.71,68.01,22.84
42647,910312/1200,-1.43,-3.36,215.18,24.6
42647,910313/0000,3.77,2.82,128.61,15.05
42647,910313/1200,0.81,-4.66,164.2,31.25
42647,910314/0000,5.1,4.57,83.61,17.85
42647,910314/1200,3.24,5.43,103.21,24.05
42647,910315/0000,5.09,9.83,60.41,8.8
42647,910315/1200,2.22,2.06,117.4,26.64
42647,910316/0000,3.51,-1.46,,24.71
42647,910319/0000,-0.24,-0.25,168.4,27.46
42647,910320/0000,-2.09,-3,287.34,24.59
42647,910320/1200,7.79,-0.24,54.02,23.88
42647,910322/1200,,4.43,,14.7
42647,910323/0000,5.45,1.29,121.81,19.71
42647,910323/1200,7.69,8.5,308.8,27.81
42647,910324/0000,9.76,9.61,84.2,23.1
42647,910324/1200,32.81,29.84,4.33,24.8
42647,910325/0000,3.15,10.8,131.79,19.98
42647,910325/1200,7.53,6.61,86.2,29.24
42647,910326/0000,2.64,4.91,,24.51
42647,910326/1200,6.5,5.28,82.2,24.44
42647,910327/0000,1.29,-0.43,80.79,25.71
42647,910327/1200,-0.12,-1.16,136.81,31.43
42647,910328/0000,25.35,25.06,,35.99
42647,910328/1200,-0.8,-3.81,150.01,31.28
42647,910329/0000,0.42,0.37,98.6,29.91
42647,910330/0000,0.84,0.53,,25.6
42647,910330/1200,-1.07,-9.07,144.26,31.3
42647,910331/0000,0.56,-1.49,,31.69
42647,910331/1200,-4.76,-7.26,333.1,43.21
42647,910201/1200,11.95,9.07,86.4,14.31
42647,910202/1200,11.89,5.93,,12.28
42647,910203/0000,14.71,4.72,,24.11
42647,910203/1200,4.08,-0.32,,16.26
42647,910204/0000,4.4,3.26,94.59,20.67
42647,910204/1200,8.17,4.6,31.8,17.13
42647,910205/0000,10.72,7.57,48,9.95
42647,910205/1200,8.83,2.51,35,12.29
42647,910206/0000,6.47,6.58,59.01,21.34
42647,910206/1200,3.47,4.28,86.8,45.51
42647,910207/0000,3.91,-26.03,70.99,42.65
42647,910207/1200,,-6.5,,15.73
42647,910208/1200,6.27,0.87,55.01,17.14
42647,910209/0000,0.61,0.21,140.78,19
42647,910209/1200,3.74,14.94,537.91,21.16
42647,910210/0000,3.5,3.76,142.39,15.75
42647,910210/1200,1.77,-2.31,133.03,22.73
42647,910211/0000,-0.36,-1.5,301.02,30.87
42647,910211/1200,32.57,-1.04,96.99,21.87
42647,910212/0000,,5.5,,11.66
42647,910213/0000,,9.16,,7.54
42647,910214/0000,10.55,11.75,67,18.8
42647,910214/1200,,7.27,,3.88
42647,910215/0000,9.53,8.29,96,25.1
42647,910215/1200,5.64,2.24,105.79,19.57
42647,910216/0000,11.09,12.21,,13.19
42647,910217/0000,10.43,14.61,68.01,12.71
42647,910217/1200,,5.9,,1.46
42647,910218/0000,13.48,12.94,67.02,7.77
42647,910218/1200,,3.75,,11.4
42647,910219/0000,9.05,11.48,73.99,15.59
42647,910219/1200,9.13,10.94,60,14.7
42647,910220/1200,0.19,1.1,162.2,27.05
42647,910221/0000,-2.74,3.31,377.96,21.21
42647,910222/0000,-0.69,4.17,184.21,37.32
42647,910222/1200,-2.1,-5.86,239.18,33.66
42647,910223/0000,3.31,3.03,131.98,30.55
42647,910223/1200,4.2,18.96,162.29,20.37
42647,910224/0000,3.11,5.55,159.51,23.03
42647,910224/1200,2.57,-1.14,43.79,19.06
42647,910225/0000,1.18,-3.1,81.01,19.94
42647,910225/1200,-1.39,-1.42,210.38,28.43
42647,910226/0000,4.45,0.98,124.13,17.8
42647,910226/1200,0.78,-2.6,157.38,19.65
42647,910227/0000,,,,
42647,910228/1200,7.66,2.53,55.81,22.92
42647,910103/1200,18.17,17.82,71.99,15.33
42647,910104/0000,11.63,13.69,76.98,24.34
42647,910104/1200,26.02,21.83,20.27,13.83
42647,910105/0000,12.81,16.02,51.01,13.33
42647,910105/1200,15.75,14.52,,27.28
42647,910106/0000,9.6,13.88,77.41,15.15
42647,910106/1200,6.16,-0.12,57.01,14.48
42647,910107/0000,5.6,9.57,,31.79
42647,910107/1200,3.44,-2.78,85.8,98.8
42647,910108/0000,7.09,8.66,78.79,17.06
42647,910108/1200,11.31,7.14,32.98,9.86
42647,910109/1200,6.69,6.58,155.01,21.34
42647,910110/0000,7.61,10.62,129.58,15.32
42647,910110/1200,6.62,5.72,151.61,22.52
42647,910111/0000,14.57,13.44,116.42,16.28
42647,910111/1200,16.73,12.97,109.01,13.35
42647,910112/1200,,8.18,,0.83
42647,910113/0000,17.01,18.53,80.01,14.62
42647,910114/1200,14,12.1,93.19,17.86
42647,910115/0000,14.1,21.69,50.99,13.21
42647,910115/1200,14.71,8.81,48.99,17.47
42647,910116/0000,8.15,18.22,147.59,24.57
42647,910116/1200,8.14,8.45,103.78,18.45
42647,910117/0000,11.99,14.81,,20.56
42647,910118/1200,19.91,15.19,90,7.42
42647,910119/0000,19.5,22.32,94,5.27
42647,910119/1200,15.95,12.26,,13.46
42647,910120/0000,,20.29,,4.92
42647,910120/1200,,15.83,,6.03
42647,910121/0000,-1,31.89,191.77,29.65
42647,910121/1200,14.14,8.74,65.02,18.99
42647,910122/0000,8.32,12.01,80.01,15.3
42647,910124/0000,2.11,2.32,128.59,30.42
42647,910124/1200,-3.09,-4.75,311.4,34.2
42647,910125/0000,-1.04,-1.34,177,21.39
42647,910126/0000,1.21,-2.2,,29.05
42647,910126/1200,4.67,-5.67,49.4,21.09
42647,910127/0000,,1.63,,1.04
42647,910127/1200,4.99,-1.78,24.79,19.29
42647,910128/0000,9.37,7.81,,9.97
42647,910128/1200,-1.47,0.59,211.79,15.73
42647,910129/0000,,6.42,,2.33
42647,910129/1200,,-14.11,,32.13
42647,901201/1200,17.32,10.63,,20.63
42647,901202/0000,15.1,13.9,35.98,31.62
42647,901202/1200,7.48,3.62,80.98,32.4
42647,901203/0000,7.06,7.89,39.01,18.53
42647,901203/1200,4.96,-5.06,31,27.33
42647,901204/1200,-1.42,-2.35,,42.65
42647,901205/0000,2.65,6.09,,31.45
42647,901205/1200,4.02,1.03,122.99,35.81
42647,901206/1200,-0.05,-5.55,,26.35
42647,901208/1200,2.25,-4.51,71.78,23.15
42647,901209/0000,10.23,8.84,61.99,6.17
42647,901209/1200,7.01,0.95,72.99,15.79
42647,901210/0000,10.66,7.64,,12.76
42647,901210/1200,9.13,2.98,69.79,15.5
42647,901211/1200,7.15,-1.64,49.01,12.38
42647,901212/0000,14.11,12.84,,7.85
42647,901213/0000,10.17,14.37,,12.61
42647,901214/1200,5.57,1.83,106.99,19.52
42647,901215/1200,8.27,14.9,61.18,17.63
42647,901216/0000,1.8,-1.23,114.19,12.13
42647,901216/1200,5.13,2.16,144.8,24.73
42647,901217/0000,-3.22,-0.82,,30.18
42647,901217/1200,4.62,4.92,169.39,34.24
42647,901218/0000,7.5,9.21,,18.89
42647,901218/1200,16.72,11.12,44.99,8.48
42647,901219/1200,11.8,18.75,,6.71
42647,901220/0000,11.3,8.18,151.27,12.44
42647,901220/1200,10.24,3.76,18.98,11.85
42647,901222/1200,,5.03,,0.59
42647,901223/1200,-0.48,2.93,159.09,35.65
42647,901223/1800,,4.57,,23.29
42647,901224/0000,10.08,-4.89,38,27.81
42647,901224/1200,44.49,6.04,37,15.12
42647,901225/0000,9.36,11.88,44.99,13.92
42647,901225/1200,8.39,3.99,93.79,14.44
42647,901226/0000,9.11,9.14,122.61,24.44
42647,901226/0600,9.64,12.98,30.98,22.17
42647,901226/1200,9.12,5.33,112.38,16.38
42647,901228/0000,,12.06,,20.66
42647,901228/1200,7.24,0.93,205.14,12.29
42647,901229/0000,8.8,9.05,235.9,18.59
42647,901230/0000,22.64,29.77,131,2.61
42647,901230/1200,16.95,15.44,78.98,7.25
42647,901231/0000,17.04,21.14,136.99,6.77
42647,901231/1200,15.08,14.28,50,10.93
42647,901101/1200,1.18,-2.04,158,31.62
42647,901102/0000,13.2,11.02,71.02,16.41
42647,901102/1200,7.08,7.35,121,22.11
42647,901103/0000,15.1,12.21,44,15.76
42647,901104/0000,11.57,12.8,105.41,22.98
42647,901104/1200,9.99,9.45,115.6,20.34
42647,901105/0000,11.82,13.26,45.8,16.93
42647,901105/1200,9.65,6.62,83.99,18.48
42647,901106/0000,,12.07,,15.56
42647,901107/0000,7.16,8.52,69.41,14.52
42647,901107/1200,2.58,6.98,187.01,15.66
42647,901108/0000,18.03,13.89,25.99,10.89
42647,901108/1200,13.41,11.83,50.4,14.93
42647,901109/0000,12.26,18.59,71.4,15.57
42647,901109/1200,11.91,7.25,62.98,20.42
42647,901110/0000,9.79,10.36,84.01,21.67
42647,901110/1200,2.19,-7.87,166.01,46.46
42647,901111/0000,10.98,19.7,117,12.64
42647,901111/1200,11.2,2.1,30.01,14.82
42647,901112/1200,15.74,12.62,42.6,13.15
42647,901113/0000,12.14,15.56,80,12.15
42647,901113/1200,3.4,62.18,237.39,19.56
42647,901114/0000,13.14,17.64,115.21,22.25
42647,901114/1200,,12.16,,17.35
42647,901115/0000,6.05,9.58,139.32,24.96
42647,901115/1200,11.04,6.66,84.81,22.91
42647,901116/0000,,6.79,,0.7
42647,901116/1200,10.43,9.17,98.79,19.52
42647,901117/0000,13.01,13.24,45.98,9.22
42647,901117/1200,,1.23,,13.55
42647,901118/0000,5.99,11.55,69.4,20.33
42647,901118/1200,5.91,3.77,96.61,20.4
42647,901119/1200,-1.73,-5.59,224.78,39.38
42647,901120/1200,-3.78,-3.6,300.59,37.08
42647,901122/1200,2.47,4.55,189.98,26.62
42647,901123/0000,16.15,13.69,59.98,18.05
42647,901123/1200,3.88,3.03,147.58,22.18
42647,901124/0000,5.91,9.22,176.84,23.83
42647,901124/1200,4.9,1.67,130.8,21.89
42647,901125/0000,47.53,8.83,54,22.38
42647,901125/1200,14.35,6.66,44,21.74
42647,901126/0000,5.51,8.14,172.59,20.64
42647,901127/1200,,-2.71,,32.29
42647,901128/0000,,3.11,,26.28
42647,901128/1200,8.06,7.65,110.21,26.32
42647,901129/0000,,13.85,,9.68
42647,901129/1200,6.81,4.15,129.81,30.82
42647,901130/0000,12.55,10.47,85.62,23.49
42647,901130/1200,,12.79,,0.38
42647,901006/1200,6,-1.18,169.38,35.19
42647,901008/0000,10.23,7.33,254.6,27.06
42647,901008/1200,13.57,2.08,53.21,30.53
42647,901009/0000,12.64,8.59,63.4,23.34
42647,901009/1200,11.36,3.71,31.17,21.84
42647,901010/0000,5.3,4.45,161.19,32.45
42647,901010/1200,7.59,6.3,175.19,31.46
42647,901011/1200,7.57,5.21,129.21,26.81
42647,901012/0000,6.77,3.79,121,27.43
42647,901012/1200,6.26,2.45,,28.82
42647,901013/0000,7.02,4.09,,31.03
42647,901013/1200,3.8,-2.62,154.2,32.61
42647,901014/0000,3.02,2.16,170.6,36.62
42647,901014/1200,2.14,1.33,198.58,34.01
42647,901015/1200,-0.94,-7.81,146.2,25.94
42647,901016/0000,13.5,14.58,38,17.22
42647,901016/1200,2.96,3.24,,29.47
42647,901017/0000,13.16,12.34,26.01,15.12
42647,901017/1200,3.33,-6.16,40.99,24.85
42647,901018/0000,12.12,30.45,44.79,8.45
42647,901018/1200,12.34,3.75,45.01,20.71
42647,901019/0000,16.32,16.19,40.99,11.41
42647,901019/1200,10.72,6.35,71.01,17.25
42647,901020/0000,9.13,8.03,54.61,19.95
42647,901020/1200,8.53,8.58,115.57,21.58
42647,901021/0000,13.75,12.62,26.01,11.11
42647,901021/1200,6.46,3.84,127.99,36.15
42647,901022/0000,11.03,7.72,53.8,21.43
42647,901022/1200,5.68,4.46,155,32.49
42647,901023/0000,3.41,38.01,166.2,30.75
42647,901023/1200,6.32,7.17,116.2,22.55
42647,901024/0000,2.78,9.99,153.61,24.89
42647,901024/1200,9.95,4.78,100.61,27.24
42647,901025/0000,0.95,6.44,186.6,27.39
42647,901025/1200,12.5,9.83,23,16.39
42647,901026/0000,,,,0
42647,901027/1200,3.61,0.09,172.21,27.25
42647,901028/0000,-2.81,1.57,253.79,39.35
42647,901028/1200,7.9,5.64,155.01,28.25
42647,901029/0000,6.77,9.05,126.41,36.91
42647,901029/1200,10.74,4.36,145.62,44.71
42647,901030/0000,21.51,,211.59,5910
42647,901030/0600,,17.43,,9.3
42647,901030/1200,,10.43,,24.19
42647,901031/0000,,12.87,,29.73
42647,900901/1200,-1.85,-0.03,,80.85
42647,900902/0000,0.88,-0.9,,55.21
42647,900902/1200,4.41,2.8,,61.73
42647,900903/0000,2.44,4.79,,63.92
42647,900903/1200,1.99,-3.4,,50.38
42647,900904/0000,-0.69,1.05,,61.63
42647,900904/1200,1,-9.26,,61.22
42647,900905/0000,2.06,-0.71,,40.21
42647,900905/1200,1.52,-3.76,,54.12
42647,900906/1200,-3.31,-4.5,,63.56
42647,900907/1200,0.54,7.89,,69.34
42647,900908/0000,-1.3,-1.57,,61.96
42647,900908/1200,,-3.45,,56.66
42647,900909/0000,-0.7,-1.33,,71.61
42647,900909/1200,-1.57,-2.62,,65.79
42647,900911/0000,-5.55,-1.71,,66.71
42647,900911/1200,,,,0
42647,900913/0000,-1.2,3.91,,74.73
42647,900914/0000,3.94,4.66,,65.43
