Station_number,Observation_time,Showalter_index,Lifted_index,SWEAT_index,Precipitable_water_mm_for_entire_sounding
42647,161011/1200,9.78,-5.47,40,25.7
42647,161012/0000,7.3,-3.96,61.99,27.16
42647,161012/1200,5.25,2.45,192.6,27.12
42647,161013/0000,34.3,0.12,28.79,9.11
42647,161013/1200,3.21,1.38,212.81,35.4
42647,161014/0000,6.64,4.59,186.6,33.11
42647,161015/0000,8.65,2.33,122.58,32.88
42647,160901/0000,-0.86,-2.76,239.4,71.1
42647,160901/1200,-0.49,-3.86,255.8,68.42
42647,160902/0000,-2.09,-3.76,255.4,69.22
42647,160902/1200,1.28,-2.56,248.02,58.57
42647,160903/0000,3.91,2.53,254.21,48.73
42647,160903/1200,5.61,3.3,243.01,43.55
42647,160904/0000,7.82,5.3,234.19,39.58
42647,160904/1200,6.86,3.7,235.41,44.15
42647,160905/0000,7.3,3.46,231.22,41.41
42647,160905/1200,5.04,2.38,237.62,44.05
42647,160906/0000,5.6,2.66,228.59,44.6
42647,160906/1200,4.54,1.42,229.21,44.83
42647,160907/0000,6.1,2.71,217.01,45.58
42647,160907/1200,4.91,1.53,236.79,50.19
42647,160908/0000,5.41,2.85,220.41,46.17
42647,160908/1200,5.26,1.3,217.61,49.49
42647,160909/0000,4.29,2.05,226.6,48.11
42647,160909/1200,3.63,2.19,230.41,52.44
42647,160910/0000,3.41,1.44,231.78,50.24
42647,160910/1200,3.95,1.76,226.19,51.08
42647,160911/1200,2.15,1.92,232.2,51.21
42647,160912/0000,0.3,-1.08,230.81,58.19
42647,160912/1200,2.14,-0.85,224.2,56.63
42647,160913/0000,-0.1,-2.95,230.58,59.66
42647,160913/1200,1.51,-2.95,204.98,53.76
42647,160914/0000,0.4,-1.86,223.21,57.09
42647,160914/1200,-0.32,-3.6,222.58,54.3
42647,160915/0000,-0.81,-1.67,227.19,61.49
42647,160915/1200,-2.64,-5.3,250.79,69.37
42647,160916/0000,-2.24,-3.65,248.19,68.66
42647,160916/1200,-1.2,-5.98,245.22,65.27
42647,160917/0000,-3.07,-4.84,252,62.8
42647,160917/1200,-0.84,-7.16,224.19,62.55
42647,160918/0000,-2.8,-2.54,259.41,67.41
42647,160918/1200,-0.09,-6.68,222.42,66.91
42647,160919/0000,-1.55,-3.15,226.8,69.66
42647,160919/1200,-1.95,-5.39,253.38,51.21
42647,160920/0000,-2.44,-2.32,240.6,61.63
42647,160920/1200,1.28,-3.39,200.18,60.69
42647,160921/0000,-2.79,-0.45,243.19,53.67
42647,160921/1200,0.51,-2.01,217.61,57.42
42647,160922/1200,-3.09,-5.47,232.79,67.22
42647,160923/0000,-4.96,-4.28,281.38,61.38
42647,160924/0000,-1.72,-2.42,198.18,45.5
42647,160924/1200,1.88,-3.83,202.18,48.32
42647,160925/0000,-0.95,-2.57,222.18,55.41
42647,160925/1200,2.04,-5.05,184.18,48.52
42647,160926/0000,1.24,-1.66,188.79,45.88
42647,160926/0600,0.78,-0.83,208.01,45.86
42647,160926/1200,1.04,-3.11,207.78,41.3
42647,160926/1800,1.11,-1.88,208.39,52.51
